Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population
36,AFG,Afghanistan,Kabul,Asia,41128771,38972230,33753499,28189672,19542982
138,ALB,Albania,Tirana,Europe,2842321,2866849,2882481,2913399,3182021
34,DZA,Algeria,Algiers,Africa,44903225,43451666,39543154,35856344,30774621
213,ASM,American Samoa,Pago Pago,Oceania,44273,46189,51368,54849,58230
203,AND,Andorra,Andorra la Vella,Europe,79824,77700,71746,71519,66097
42,AGO,Angola,Luanda,Africa,35588987,33428485,28127721,23364185,16394062
224,AIA,Anguilla,The Valley,North America,15857,15585,14525,13172,11047
201,ATG,Antigua and Barbuda,Saint John’s,North America,93763,92664,89941,85695,75055
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774
140,ARM,Armenia,Yerevan,Asia,2780469,2805608,2878595,2946293,3168523
198,ABW,Aruba,Oranjestad,North America,106445,106585,104257,100341,89101
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963
99,AUT,Austria,Vienna,Europe,8939617,8907777,8642421,8362829,8010428
91,AZE,Azerbaijan,Baku,Asia,10358074,10284951,9863480,9237202,8190337
176,BHS,Bahamas,Nassau,North America,409984,406471,392697,373272,325014
154,BHR,Bahrain,Manama,Asia,1472233,1477469,1362142,1213645,711442
8,BGD,Bangladesh,Dhaka,Asia,171186372,167420951,157830000,148391139,129193327
186,BRB,Barbados,Bridgetown,North America,281635,280693,278083,274711,264657
96,BLR,Belarus,Minsk,Europe,9534954,9633740,9700609,9731427,10256483
81,BEL,Belgium,Brussels,Europe,11655930,11561717,11248303,10877947,10264343
177,BLZ,Belize,Belmopan,North America,405272,394921,359871,322106,240406
77,BEN,Benin,Porto-Novo,Africa,13352864,12643123,10932783,9445710,6998023
206,BMU,Bermuda,Hamilton,North America,64184,64031,63144,63447,61371
165,BTN,Bhutan,Thimphu,Asia,782455,772506,743274,705516,587207
80,BOL,Bolivia,Sucre,South America,12224110,11936162,11090085,10223270,8592656
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,3233526,3318407,3524324,3811088,4179350
144,BWA,Botswana,Gaborone,Africa,2630296,2546402,2305171,2091664,1726985
7,BRA,Brazil,Brasilia,South America,215313498,213196304,205188205,196353492,175873720
221,VGB,British Virgin Islands,Road Town,North America,31305,30910,29366,27556,20104
175,BRN,Brunei,Bandar Seri Begawan,Asia,449002,441725,421437,396053,333926
108,BGR,Bulgaria,Sofia,Europe,6781953,6979175,7309253,7592273,8097691
58,BFA,Burkina Faso,Ouagadougou,Africa,22673762,21522626,18718019,16116845,11882888
78,BDI,Burundi,Bujumbura,Africa,12889576,12220227,10727148,9126605,6307659
73,KHM,Cambodia,Phnom Penh,Asia,16767842,16396860,15417523,14363532,12118841
53,CMR,Cameroon,Yaounde,Africa,27914536,26491087,23012646,19878036,15091594
39,CAN,Canada,Ottawa,North America,38454327,37888705,35732126,33963412,30683313
